W&B: https://wandb.ai/ziyiw1930-academia-sinica/crossenbodiment-bilevel/runs/9bfh78l2

[00000] r=0.641 r_track=0.595 pose_err=0.084 term=0.67 | G=1.233 S=0.849 C=1.433 illegal=0.958 sat=0.00 | 3.06s/it
[00010] r=0.638 r_track=0.587 pose_err=0.089 term=0.64 | G=1.209 S=0.835 C=1.463 illegal=0.959 sat=0.00 | 1.29s/it
[00020] r=0.641 r_track=0.594 pose_err=0.086 term=0.64 | G=1.170 S=0.648 C=1.323 illegal=0.970 sat=0.00 | 1.21s/it
[00030] r=0.645 r_track=0.597 pose_err=0.084 term=0.60 | G=1.206 S=0.648 C=1.246 illegal=0.968 sat=0.00 | 1.18s/it
[00040] r=0.642 r_track=0.594 pose_err=0.086 term=0.60 | G=1.132 S=0.839 C=1.424 illegal=0.968 sat=0.00 | 1.16s/it
[00050] r=0.640 r_track=0.592 pose_err=0.087 term=0.65 | G=1.155 S=0.741 C=1.493 illegal=0.960 sat=0.00 | 1.15s/it
[00060] r=0.641 r_track=0.593 pose_err=0.088 term=0.62 | G=1.136 S=0.641 C=1.308 illegal=0.965 sat=0.00 | 1.14s/it
[00070] r=0.647 r_track=0.600 pose_err=0.089 term=0.61 | G=1.110 S=0.598 C=1.367 illegal=0.960 sat=0.00 | 1.14s/it
[00080] r=0.644 r_track=0.595 pose_err=0.089 term=0.62 | G=1.143 S=1.023 C=1.335 illegal=0.965 sat=0.00 | 1.13s/it
[00090] r=0.644 r_track=0.596 pose_err=0.087 term=0.64 | G=1.283 S=0.811 C=1.591 illegal=0.967 sat=0.00 | 1.13s/it
[00100] r=0.639 r_track=0.590 pose_err=0.088 term=0.59 | G=1.207 S=0.855 C=1.320 illegal=0.967 sat=0.00 | 1.13s/it
[00110] r=0.649 r_track=0.604 pose_err=0.080 term=0.61 | G=1.050 S=0.446 C=1.274 illegal=0.961 sat=0.00 | 1.18s/it
[00120] r=0.641 r_track=0.592 pose_err=0.087 term=0.62 | G=1.178 S=0.790 C=1.483 illegal=0.963 sat=0.00 | 1.23s/it
[00130] r=0.643 r_track=0.595 pose_err=0.087 term=0.60 | G=1.091 S=0.701 C=1.324 illegal=0.953 sat=0.00 | 1.27s/it
[00140] r=0.648 r_track=0.603 pose_err=0.083 term=0.65 | G=1.102 S=0.783 C=1.409 illegal=0.960 sat=0.00 | 1.30s/it
[00150] r=0.640 r_track=0.593 pose_err=0.088 term=0.61 | G=1.231 S=0.609 C=1.406 illegal=0.971 sat=0.00 | 1.33s/it
[00160] r=0.644 r_track=0.600 pose_err=0.084 term=0.67 | G=1.219 S=0.807 C=1.308 illegal=0.970 sat=0.00 | 1.35s/it
[00170] r=0.644 r_track=0.597 pose_err=0.086 term=0.60 | G=1.081 S=0.786 C=1.365 illegal=0.949 sat=0.00 | 1.37s/it
[00180] r=0.652 r_track=0.604 pose_err=0.085 term=0.60 | G=1.119 S=0.689 C=1.175 illegal=0.967 sat=0.00 | 1.39s/it
