W&B: https://wandb.ai/ziyiw1930-academia-sinica/crossenbodiment-bilevel/runs/0qgwtzz3

[00000] r=0.712 r_track=0.674 pose_err=0.048 term=0.33 | G=0.868 S=0.822 C=1.092 illegal=0.958 sat=0.00 | 2.09s/it
[00010] r=0.703 r_track=0.664 pose_err=0.052 term=0.31 | G=0.894 S=0.814 C=1.054 illegal=0.959 sat=0.00 | 0.88s/it
[00020] r=0.710 r_track=0.673 pose_err=0.051 term=0.27 | G=0.805 S=0.631 C=0.920 illegal=0.970 sat=0.00 | 0.83s/it
[00030] r=0.711 r_track=0.676 pose_err=0.048 term=0.28 | G=0.776 S=0.612 C=0.929 illegal=0.968 sat=0.00 | 0.81s/it
[00040] r=0.705 r_track=0.667 pose_err=0.053 term=0.31 | G=0.814 S=0.828 C=1.037 illegal=0.968 sat=0.00 | 0.80s/it
[00050] r=0.705 r_track=0.668 pose_err=0.052 term=0.32 | G=0.813 S=0.738 C=1.160 illegal=0.960 sat=0.00 | 0.79s/it
[00060] r=0.717 r_track=0.682 pose_err=0.049 term=0.23 | G=0.727 S=0.634 C=1.026 illegal=0.965 sat=0.00 | 0.78s/it
[00070] r=0.712 r_track=0.676 pose_err=0.049 term=0.26 | G=0.808 S=0.556 C=0.969 illegal=0.960 sat=0.00 | 0.78s/it
[00080] r=0.716 r_track=0.683 pose_err=0.049 term=0.27 | G=0.787 S=1.003 C=0.943 illegal=0.965 sat=0.00 | 0.78s/it
[00090] r=0.709 r_track=0.672 pose_err=0.051 term=0.32 | G=0.949 S=0.788 C=1.191 illegal=0.967 sat=0.00 | 0.77s/it
[00100] r=0.709 r_track=0.672 pose_err=0.050 term=0.27 | G=0.769 S=0.841 C=0.951 illegal=0.967 sat=0.00 | 0.78s/it
[00110] r=0.738 r_track=0.715 pose_err=0.028 term=0.35 | G=0.735 S=0.409 C=0.967 illegal=0.961 sat=0.00 | 0.79s/it
[00120] r=0.732 r_track=0.705 pose_err=0.030 term=0.40 | G=0.907 S=0.778 C=1.148 illegal=0.963 sat=0.00 | 0.80s/it
[00130] r=0.711 r_track=0.682 pose_err=0.029 term=0.42 | G=1.068 S=0.663 C=0.956 illegal=0.953 sat=0.00 | 0.81s/it
[00140] r=0.739 r_track=0.715 pose_err=0.027 term=0.43 | G=0.880 S=0.775 C=1.074 illegal=0.960 sat=0.00 | 0.82s/it
[00150] r=0.734 r_track=0.710 pose_err=0.029 term=0.41 | G=0.895 S=0.571 C=1.095 illegal=0.971 sat=0.00 | 0.82s/it
[00160] r=0.735 r_track=0.713 pose_err=0.028 term=0.35 | G=0.862 S=0.751 C=1.068 illegal=0.970 sat=0.00 | 0.83s/it
[00170] r=0.745 r_track=0.721 pose_err=0.026 term=0.43 | G=0.792 S=0.765 C=0.930 illegal=0.949 sat=0.00 | 0.83s/it
[00180] r=0.751 r_track=0.724 pose_err=0.028 term=0.44 | G=0.802 S=0.665 C=0.911 illegal=0.967 sat=0.00 | 0.84s/it
[00190] r=0.762 r_track=0.740 pose_err=0.026 term=0.44 | G=0.857 S=0.707 C=0.888 illegal=0.964 sat=0.00 | 0.84s/it
[00200] r=0.752 r_track=0.730 pose_err=0.026 term=0.46 | G=0.794 S=0.916 C=0.915 illegal=0.966 sat=0.00 | 0.84s/it
[00210] r=0.739 r_track=0.713 pose_err=0.027 term=0.46 | G=0.911 S=0.721 C=1.071 illegal=0.957 sat=0.00 | 0.84s/it
[00220] r=0.743 r_track=0.713 pose_err=0.028 term=0.47 | G=0.825 S=0.674 C=1.011 illegal=0.956 sat=0.00 | 0.85s/it
[00230] r=0.755 r_track=0.729 pose_err=0.026 term=0.43 | G=0.831 S=0.760 C=1.045 illegal=0.957 sat=0.00 | 0.85s/it
[00240] r=0.754 r_track=0.732 pose_err=0.024 term=0.45 | G=0.795 S=0.837 C=1.025 illegal=0.958 sat=0.00 | 0.85s/it
  saved -> /home/allen19/crossenbodiment/model/bilevel/checkpoints/stage2_000250.pt
[00250] r=0.754 r_track=0.728 pose_err=0.027 term=0.47 | G=0.825 S=0.855 C=0.998 illegal=0.968 sat=0.00 | 0.85s/it
[00260] r=0.749 r_track=0.721 pose_err=0.028 term=0.38 | G=0.846 S=0.741 C=1.062 illegal=0.961 sat=0.00 | 0.86s/it
[00270] r=0.755 r_track=0.731 pose_err=0.027 term=0.41 | G=0.804 S=0.730 C=0.987 illegal=0.959 sat=0.00 | 0.86s/it
[00280] r=0.728 r_track=0.700 pose_err=0.028 term=0.41 | G=1.065 S=0.569 C=0.961 illegal=0.963 sat=0.00 | 0.86s/it
[00290] r=0.732 r_track=0.714 pose_err=0.029 term=0.45 | G=0.975 S=0.640 C=1.087 illegal=0.964 sat=0.00 | 0.86s/it
[00300] r=0.749 r_track=0.727 pose_err=0.027 term=0.45 | G=0.838 S=0.845 C=0.956 illegal=0.952 sat=0.00 | 0.86s/it
[00310] r=0.757 r_track=0.736 pose_err=0.026 term=0.40 | G=0.847 S=0.682 C=0.971 illegal=0.966 sat=0.00 | 0.86s/it
[00320] r=0.743 r_track=0.716 pose_err=0.027 term=0.45 | G=0.817 S=0.916 C=0.975 illegal=0.965 sat=0.00 | 0.87s/it
[00330] r=0.754 r_track=0.727 pose_err=0.026 term=0.42 | G=0.772 S=0.632 C=0.906 illegal=0.963 sat=0.00 | 0.87s/it
[00340] r=0.761 r_track=0.733 pose_err=0.024 term=0.41 | G=0.769 S=0.749 C=1.086 illegal=0.950 sat=0.00 | 0.87s/it
[00350] r=0.745 r_track=0.722 pose_err=0.026 term=0.46 | G=0.793 S=0.754 C=1.001 illegal=0.963 sat=0.00 | 0.87s/it
[00360] r=0.734 r_track=0.706 pose_err=0.026 term=0.33 | G=0.874 S=0.630 C=0.946 illegal=0.969 sat=0.00 | 0.87s/it
[00370] r=0.738 r_track=0.709 pose_err=0.026 term=0.40 | G=0.835 S=0.802 C=1.054 illegal=0.961 sat=0.00 | 0.87s/it
[00380] r=0.716 r_track=0.688 pose_err=0.028 term=0.35 | G=0.892 S=0.640 C=0.960 illegal=0.965 sat=0.00 | 0.87s/it
[00390] r=0.723 r_track=0.709 pose_err=0.027 term=0.41 | G=0.835 S=0.816 C=0.998 illegal=0.962 sat=0.00 | 0.87s/it
[00400] r=0.754 r_track=0.739 pose_err=0.025 term=0.38 | G=0.700 S=0.634 C=0.802 illegal=0.963 sat=0.00 | 0.87s/it
[00410] r=0.733 r_track=0.716 pose_err=0.024 term=0.37 | G=0.732 S=0.683 C=0.921 illegal=0.965 sat=0.00 | 0.87s/it
[00420] r=0.748 r_track=0.729 pose_err=0.026 term=0.39 | G=0.733 S=0.680 C=0.964 illegal=0.964 sat=0.00 | 0.87s/it
[00430] r=0.739 r_track=0.720 pose_err=0.027 term=0.39 | G=0.775 S=0.685 C=0.977 illegal=0.963 sat=0.00 | 0.87s/it
[00440] r=0.748 r_track=0.734 pose_err=0.026 term=0.32 | G=0.725 S=0.949 C=0.996 illegal=0.958 sat=0.00 | 0.87s/it
[00450] r=0.746 r_track=0.722 pose_err=0.025 term=0.41 | G=0.815 S=0.609 C=1.101 illegal=0.967 sat=0.00 | 0.87s/it
[00460] r=0.751 r_track=0.729 pose_err=0.027 term=0.39 | G=0.771 S=0.719 C=1.032 illegal=0.969 sat=0.00 | 0.87s/it
[00470] r=0.741 r_track=0.718 pose_err=0.026 term=0.45 | G=0.745 S=0.920 C=1.111 illegal=0.949 sat=0.00 | 0.87s/it
[00480] r=0.752 r_track=0.734 pose_err=0.028 term=0.42 | G=0.733 S=0.753 C=0.958 illegal=0.967 sat=0.00 | 0.87s/it
[00490] r=0.755 r_track=0.735 pose_err=0.024 term=0.41 | G=0.702 S=0.690 C=0.934 illegal=0.959 sat=0.00 | 0.87s/it
  saved -> /home/allen19/crossenbodiment/model/bilevel/checkpoints/stage2_000500.pt
[00500] r=0.756 r_track=0.733 pose_err=0.026 term=0.41 | G=0.723 S=0.856 C=0.995 illegal=0.957 sat=0.00 | 0.87s/it
/home/allen19/crossenbodiment/model/bilevel/upper.py:427: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:822.)
  metrics["F"] = float(total)
[00510] r=0.733 r_track=0.712 pose_err=0.026 term=0.46 | G=0.885 S=0.702 C=1.103 illegal=0.964 sat=0.00 | 0.88s/it
[00520] r=0.752 r_track=0.732 pose_err=0.025 term=0.38 | G=0.747 S=0.905 C=1.016 illegal=0.964 sat=0.00 | 0.88s/it
[00530] r=0.737 r_track=0.717 pose_err=0.026 term=0.39 | G=0.722 S=0.856 C=0.962 illegal=0.963 sat=0.00 | 0.88s/it
[00540] r=0.765 r_track=0.747 pose_err=0.025 term=0.35 | G=0.702 S=0.735 C=0.927 illegal=0.970 sat=0.00 | 0.89s/it
[00550] r=0.748 r_track=0.726 pose_err=0.027 term=0.43 | G=0.763 S=0.551 C=0.972 illegal=0.967 sat=0.00 | 0.89s/it
[00560] r=0.761 r_track=0.748 pose_err=0.024 term=0.35 | G=0.715 S=0.691 C=0.904 illegal=0.965 sat=0.00 | 0.89s/it
[00570] r=0.756 r_track=0.734 pose_err=0.026 term=0.37 | G=0.738 S=0.622 C=1.037 illegal=0.962 sat=0.00 | 0.90s/it
[00580] r=0.753 r_track=0.731 pose_err=0.026 term=0.36 | G=0.702 S=0.611 C=1.011 illegal=0.962 sat=0.00 | 0.90s/it
[00590] r=0.757 r_track=0.733 pose_err=0.026 term=0.39 | G=0.800 S=0.613 C=1.034 illegal=0.968 sat=0.00 | 0.90s/it
[00600] r=0.753 r_track=0.733 pose_err=0.025 term=0.38 | G=0.722 S=0.733 C=0.955 illegal=0.962 sat=0.00 | 0.90s/it
[00610] r=0.767 r_track=0.746 pose_err=0.025 term=0.36 | G=0.688 S=0.644 C=0.891 illegal=0.958 sat=0.00 | 0.91s/it
[00620] r=0.759 r_track=0.734 pose_err=0.024 term=0.37 | G=0.736 S=0.545 C=0.979 illegal=0.951 sat=0.00 | 0.91s/it
[00630] r=0.737 r_track=0.708 pose_err=0.027 term=0.43 | G=0.836 S=1.054 C=1.105 illegal=0.955 sat=0.00 | 0.91s/it
[00640] r=0.751 r_track=0.724 pose_err=0.026 term=0.34 | G=0.693 S=0.771 C=0.919 illegal=0.966 sat=0.00 | 0.91s/it
[00650] r=0.753 r_track=0.726 pose_err=0.024 term=0.39 | G=0.744 S=0.734 C=1.011 illegal=0.955 sat=0.00 | 0.92s/it
[00660] r=0.733 r_track=0.706 pose_err=0.028 term=0.40 | G=0.784 S=0.969 C=1.038 illegal=0.965 sat=0.00 | 0.92s/it
[00670] r=0.739 r_track=0.716 pose_err=0.025 term=0.36 | G=0.704 S=0.611 C=0.874 illegal=0.969 sat=0.00 | 0.92s/it
[00680] r=0.739 r_track=0.714 pose_err=0.028 term=0.42 | G=0.841 S=0.726 C=0.948 illegal=0.961 sat=0.00 | 0.92s/it
[00690] r=0.743 r_track=0.717 pose_err=0.025 term=0.38 | G=0.764 S=0.799 C=1.034 illegal=0.965 sat=0.00 | 0.92s/it
[00700] r=0.747 r_track=0.722 pose_err=0.026 term=0.40 | G=0.730 S=0.672 C=1.059 illegal=0.959 sat=0.00 | 0.93s/it
[00710] r=0.757 r_track=0.737 pose_err=0.025 term=0.38 | G=0.710 S=0.612 C=0.928 illegal=0.966 sat=0.00 | 0.93s/it
[00720] r=0.750 r_track=0.724 pose_err=0.025 term=0.41 | G=0.751 S=0.650 C=0.953 illegal=0.962 sat=0.00 | 0.93s/it
[00730] r=0.748 r_track=0.722 pose_err=0.025 term=0.39 | G=0.809 S=0.802 C=1.130 illegal=0.959 sat=0.00 | 0.93s/it
[00740] r=0.758 r_track=0.735 pose_err=0.026 term=0.35 | G=0.707 S=0.546 C=0.919 illegal=0.958 sat=0.00 | 0.93s/it
  saved -> /home/allen19/crossenbodiment/model/bilevel/checkpoints/stage2_000750.pt
[00750] r=0.752 r_track=0.730 pose_err=0.026 term=0.41 | G=0.829 S=0.655 C=0.982 illegal=0.963 sat=0.00 | 0.94s/it
[00760] r=0.746 r_track=0.726 pose_err=0.026 term=0.38 | G=0.836 S=0.671 C=0.938 illegal=0.963 sat=0.00 | 0.94s/it
[00770] r=0.751 r_track=0.726 pose_err=0.027 term=0.33 | G=0.736 S=0.534 C=1.047 illegal=0.966 sat=0.00 | 0.94s/it
[00780] r=0.741 r_track=0.723 pose_err=0.026 term=0.38 | G=0.861 S=0.935 C=0.995 illegal=0.953 sat=0.00 | 0.94s/it
[00790] r=0.746 r_track=0.729 pose_err=0.024 term=0.40 | G=0.829 S=1.029 C=0.937 illegal=0.952 sat=0.00 | 0.94s/it
[00800] r=0.742 r_track=0.718 pose_err=0.027 term=0.37 | G=0.833 S=0.730 C=0.999 illegal=0.958 sat=0.00 | 0.94s/it
[00810] r=0.753 r_track=0.727 pose_err=0.027 term=0.35 | G=0.785 S=0.550 C=1.009 illegal=0.958 sat=0.00 | 0.95s/it
[00820] r=0.761 r_track=0.740 pose_err=0.026 term=0.31 | G=0.683 S=0.746 C=0.893 illegal=0.966 sat=0.00 | 0.95s/it
[00830] r=0.748 r_track=0.725 pose_err=0.025 term=0.38 | G=0.731 S=0.898 C=1.016 illegal=0.965 sat=0.00 | 0.95s/it
[00840] r=0.751 r_track=0.734 pose_err=0.024 term=0.35 | G=0.762 S=0.747 C=0.905 illegal=0.961 sat=0.00 | 0.95s/it
[00850] r=0.732 r_track=0.713 pose_err=0.027 term=0.39 | G=0.919 S=0.721 C=1.008 illegal=0.962 sat=0.00 | 0.95s/it
[00860] r=0.747 r_track=0.730 pose_err=0.026 term=0.39 | G=0.837 S=0.641 C=0.952 illegal=0.967 sat=0.00 | 0.95s/it
[00870] r=0.744 r_track=0.723 pose_err=0.027 term=0.36 | G=0.828 S=0.815 C=1.039 illegal=0.962 sat=0.00 | 0.95s/it
[00880] r=0.746 r_track=0.730 pose_err=0.024 term=0.36 | G=0.844 S=0.869 C=0.906 illegal=0.963 sat=0.00 | 0.96s/it
[00890] r=0.734 r_track=0.719 pose_err=0.026 term=0.43 | G=0.788 S=1.079 C=0.990 illegal=0.964 sat=0.00 | 0.96s/it
[00900] r=0.738 r_track=0.721 pose_err=0.025 term=0.38 | G=0.820 S=1.121 C=1.096 illegal=0.965 sat=0.00 | 0.96s/it
[00910] r=0.739 r_track=0.725 pose_err=0.026 term=0.38 | G=0.808 S=0.880 C=1.042 illegal=0.961 sat=0.00 | 0.96s/it
